"loc10_typ_b","nodes"
"934","B47",7
"935","B4211",7
"936","B4212",7
"937","B413",7
"938","B4121",7
"939","B4113",7
"940","B4211",7
"941","B4211",9
"942","B4211",9
"943","B4211",9
"944","B42112",9
"945","B42112",9
"946","B49",9
"947","B49",9
"948","B49",9
"949","B4113",7
"950","B413",7
"951","B42112",7
"952","B42112",7
"953","B4113",7
"954","B413",7
"955","B42112",7
"956","B45",7
"957","B43",9
"958","B42113",7
"959","B4113",7
"960","B413",7
"961","B42113",7
"962","B4113",7
"963","B413",7
"964","B42111",7
"965","B42112",7
"966","B413",7
"967","B4113",7
"968","B4113",7
"969","B42112",7
"970","B413",7
"971","B43",10
"972","B411",10
"973","B41",10
"974","B4211",10
"975","B4113",10
"976","B413",10
"977","B42111",10
"978","B42113",7
"979","B45",3
"980","B411",12
"981","B45",3
"982","B45",3
"983","B45",3
"984","B42112",3
"985","B411",8
"986","B4211",7
"987","B421",9
"988","B4211",9
"989","B4212",11
"990","B42112",9
"991","B411",9
"992","B413",9
"993","B43",7
"994","B49",7
"995","B422112",9
"996","B42112",11
"997","B4221",10
"998","B42113",7
"999","B421",7
"1000","B411",7
"1001","B45",9
"1002","B42112",10
"1003","B4211",10
"1004","B413",7
"1005","B411",7
"1006","B4211",8
"1007","B4211",8
"1008","B4",9
"1009","B4221",9
"1010","B42111",9
"1011","B42111",9
"1012","B42111",9
"1013","B4211",9
"1014","B43",9
"1015","B45",9
"1016","B4211",9
"1017","B43",9
"1018","B43",9
"1019","B4211",9
"1020","B42111",9
"1021","B4",9
"1022","B42",9
"1023","B43",9
"1024","B4211",9
"1025","B43",9
"1026","B4211",9
"1027","B4211",9
"1028","B41292",9
"1029","B4211",9
"1030","B4211",9
"1031","B4211",9
"1032","B4211",9
"1033","B43",9
"1034","B4211",9
"1035","B4211",9
"1036","B42119",9
"1037","B419",9
"1038","B4",7
"1039","B49",9
"1040","B421",9
"1041","B421",9
"1042","B411",9
"1043","B4211",7
"1044","B43",7
"1045","B421",7
"1046","B45",7
"1047","B4119",7
"1048","B4124",7
"1049","B4211",7
"1050","B4",7
"1051","B4",7
"1052","B411",10
"1053","B45",7
"1054","B411",9
"1055","B41",9
"1056","B4211",9
"1057","B4211",9
"1058","B4211",9
"1059","B4211",9
"1060","B4211",9
"1061","B41",9
"1062","B411",9
"1063","B42",9
"1064","B4114",9
"1065","B4211",9
"1066","B4211",9
"1067","B43",9
"1068","B4211",9
"1069","B4211",9
"1070","B41",9
"1071","B4211",10
"1072","B4211",9
"1073","B4211",9
"1074","B4211",9
"1075","B4211",9
"1076","B4211",9
"1077","B43",9
"1078","B43",9
"1079","B4211",9
"1080","B4211",7
"1081","B43",7
"1082","B4211",7
"1083","B49",7
"1084","B411",7
"1085","B411",7
"1086","B419",7
"1087","B4221",7
"1088","B4211",2
"1089","B45",7
"1090","B4211",9
"1091","B411",9
"1092","B4211",9
"1093","B43",9
"1094","B43",9
"1095","B43",9
"1096","B45",11
"1097","B45",11
"1098","B413",11
"1099","B42215",11
"1100","B45",2
"1101","B45",2
"1102","B43",2
"1103","B43",2
"1104","B4113",7
"1105","B4",7
"1106","B45",7
"1107","B45",8
"1108","B421",8
"1109","B413",8
"1110","B4112",8
"1111","B4211",8
"1112","B4211",8
"1113","B4211",8
"1114","B41",8
"1115","B411",8
"1116","B4221",8
"1117","B4",8
"1118","B41",8
"1119","B4211",10
"1120","B43",10
"1121","B4211",10
"1122","B4211",10
"1123","B4222",10
"1124","B42213",10
"1125","B42213",10
"1126","B42213",10
"1127","B42213",10
"1128","B42213",10
"1129","B42213",10
"1130","B42213",10
"1131","B43",10
"1132","B4211",10
"1133","B42112",10
"1134","B4211",10
"1135","B4211",10
"1136","B43",10
"1137","B4211",10
"1138","B4211",10
"1139","B4221",10
"1140","B4211",10
"1141","B4211",10
"1142","B43",10
"1143","B43",10
"1144","B4229",10
"1145","B4211",7
"1146","B4211",7
"1147","B4113",7
"1148","B48",7
"1149","B42112",7
"1150","B4113",7
"1151","B4113",7
"1152","B4211",7
"1153","B4113",7
"1154","B4212",7
"1155","B42112",7
"1156","B4113",7
"1157","B47",7
"1158","B42113",7
"1159","B4113",7
"1160","B4113",7
"1161","B41",7
"1162","B419",7
"1163","B43",9
"1164","B4211",7
"1165","B411",7
